No	大分類	中分類	国	産地	銘柄名	市販価格	バー価格	知名度	味わいタグ	検索タグ	ソフィーのセリフ	定番フラグ	ソフィーの推し	GPT_甘辛	GPT_ボディ	GPT_個性	GPT_第4軸	GPT_コスパ	GPT_評価根拠	Gemini_甘辛	Gemini_ボディ	Gemini_個性	Gemini_第4軸	Gemini_コスパ	Gemini_根拠	Claude_甘辛	Claude_ボディ	Claude_個性	Claude_第4軸	度数	マップ産地	製造元と創業年	銘柄誕生年	公式URL	鑑定評価(200字)	ソフィーの裏話	情報ソース、
11	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	アップルマティーニ	240円	1,300円	3	甘口,ライトボディ,フルーティー,柑橘系,なめらか,すっきり消える,冷やして飲む	アメリカ,誰でも知ってる定番,入門にぴったり,乾杯・スタート,ロマンチック,見た目が映える	青リンゴの甘酸っぱさが弾ける、おしゃれなマティーニ派生。グリーンの色も可愛いです。			1.3	0.2	1.3	0.6	−	甘いリンゴ香が強く華やか	1.2	-0.1	1	0.4	-	青リンゴのフルーティーな香りと甘味が際立つ	1	0	0.5	0.5	0.2	"アメリカ / ウェスト・ハリウッド"	"ローラズ / -"	1996年	-	ウォッカをベースにアップル・リキュールを加えたモダン・クラシック。1996年にウェスト・ハリウッドの「ローラズ」で考案され、2000年代にかけて世界的に大流行した。「マティーニ」の名を冠しているが、伝統的なものとは異なり、フルーティーで飲みやすいデザート感覚のカクテルである。都会的でスタイリッシュなイメージが強く、映画やドラマの影響で現代のスタンダードとしての地位を確立した。	ドラマ『セックス・アンド・ザ・シティ』の劇中で登場したことで、世界的なブームとなりました。都会的で洗練された夜にふさわしい一杯でございます。	"Liquor.com、 Wikipedia"
12	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	ウォッカリッキー	130円	900円	3	辛口,ライトボディ,柑橘系,炭酸・泡立ち,酸味が際立つ,すっきり消える,冷やして飲む	アメリカ,お酒好きなら知ってる,お酒好き向け,食前酒,気分を上げたい,チャレンジしたい	甘さゼロ、ライムとソーダだけの潔い辛口。余計なものを削ぎ落とした、清潔な美学です。					0.2	1.4	−	無糖で酸味前面の軽快型	-0.8	-1.2	0	1.6	-	糖分を含まずライムの酸味と炭酸で極めてドライ	-0.5	-1	0	1.5	0.12	"アメリカ / ワシントンD.C."	-	19世紀末	-	ウォッカにライムを絞り入れ、ソーダで満たす甘味のないスタイル。1883年にワシントンD.C.のバーでロビー・リッキー大佐が愛飲したレシピのウォッカ版。砂糖を使用しないためカロリーが低く、素材の味がストレートに反映される。非常にドライで喉越しが良く、夏場のリフレッシュメントとして、また食事中の口直しとして現代でも根強い人気を誇る。甘さを排した潔い構成が、大人の喉を潤す。	お砂糖を使わないため、非常にキレのある味わいでございます。リッキー大佐が考案した当時はジンベースでしたが、現在はウォッカも定番でございます。	"The Washington Post、 Wikipedia"
13	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	カミカゼ	180円	1,100円	2	やや辛口,ライトボディ,フルーティー,柑橘系,酸味が際立つ,シャープ,すっきり消える,冷やして飲む	アメリカ,お酒好きなら知ってる,お酒好き向け,乾杯・スタート,気分を上げたい,名前が面白い	名前のインパクト通り、鋭くキレのある一杯。ライムの酸が一撃必殺に仕上げています。	○		0.5	0.2	1	1.5	−	ライム酸味が明確に主張	-0.3	0.5	0.4	1.5	-	強烈なライムの酸味とウォッカのキレが鋭い	0	0	0.5	1.5	0.25	"日本 / 横須賀市（説）"	-	1940年代後半	https://www.iba-world.com/	ウォッカ、ホワイトキュラソー、ライムジュースを等量でシェイクした、鋭い酸味とキレが特徴のカクテル。第2次世界大戦後、横須賀の米軍基地内のバーで考案されたという説が有力。名前の由来は「神風」のような鋭いインパクトから。米国に渡り、1970年代から80年代にかけて世界的なスタンダードとして普及した。日本生まれのアメリカ育ちという稀有な経歴を持ち、その鋭利な味わいは唯一無二である。	名前の通り、鋭く刺さるような酸味とキレが特徴でございます。横須賀の米軍基地から世界へ広まった、日本にゆかりのある一杯でございます。	"IBA、 カクテル完全バイブル"
14	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	カミカゼ（ショット）	150円	800円	2	やや辛口,ライトボディ,フルーティー,柑橘系,シャープ,すっきり消える,冷やして飲む	アメリカ,お酒好きなら知ってる,お酒好き向け,乾杯・スタート,気分を上げたい,チャレンジしたい	一気に飲み干すショットスタイル。キレのある一撃で、テンションを一気に上げましょう。			0.5	0.8	1	1.5	−	同配合だが濃度高くボディ増	-0.3	0.2	0.4	1.3	-	ショートより凝縮感があるが構成要素は同一	0	0	0.5	1.5	0.25	"日本 / 横須賀市（説）"	-	1970年代	-	カミカゼの材料をシェイクし、ショットグラスに注いで一口で飲み干すスタイル。1970年代の米国のディスコシーンでパーティー・ショットとして流行した。カクテルとしてのカミカゼよりも、アルコールの高揚感とライムの刺激をダイレクトに楽しむ目的が強い。ウォッカの純度とシトラスの酸が融合し、短時間で強烈な印象を残す。現代のナイトライフにおいて、祝祭感を演出する定番の提供形式となっている。	パーティーの定番として、一口で飲み干すのがエチケットとなっております。ライムの刺激が、瞬時に気分を高揚させてくれます。	"-、 Wikipedia"
15	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	グレイハウンド	140円	900円	3	中口,ライトボディ,柑橘系,酸味が際立つ,すっきり消える,冷やして飲む	アメリカ,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,食前酒,名前が面白い	グレープフルーツだけのシンプルさが美味しい。細身の犬のように、軽やかな一杯です。					0.4	0.8	−	グレープフルーツの酸味主体	0.1	-0.5	0.6	1.4	-	グレープフルーツの酸味と苦味をストレートに感じる	-0.5	-1	0	1	0.12	"アメリカ / 国際"	-	1930年代	-	ウォッカとグレープフルーツジュースを組み合わせたシンプルなロングカクテル。1930年代の米国で、バス会社「グレイハウンド」のターミナル内レストランで提供されていたことが名前の由来とされる。元々はジンベースだったが、戦後のウォッカブームにより転換された。グレープフルーツのほろ苦さがウォッカのキレを強調し、清涼感あふれる飲み心地を実現。旅情を感じさせる名前と共に、世界中で親しまれている。	バスの待ち時間に提供されていたものが、今や世界的な定番となりました。名前の響きから、どこか遠くへ旅に出たくなるような一杯でございます。	"Difford's Guide、 Wikipedia"
16	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	コスモポリタン	220円	1,200円	2	甘口,ライトボディ,フルーティー,柑橘系,フローラル,なめらか,すっきり消える,冷やして飲む	アメリカ,誰でも知ってる定番,入門にぴったり,乾杯・スタート,ロマンチック,見た目が映える,話題になる一杯	SEXアンド・ザ・シティで世界を席巻したピンクの美人。華やかな夜の始まりにどうぞ。	○		0.6	0.3	1.4	1	−	クランベリーで華やか酸味型	0.5	0.4	1.1	1.2	-	クランベリーの華やかな色合いと果実味溢れる酸味	0	0	1	1	0.2	"アメリカ / ニューヨーク州"	-	1980年代	https://www.iba-world.com/	ウォッカ、クランベリージュース、ホワイトキュラソー、ライムジュースをシェイクした、美しいピンク色のカクテル。1980年代に米国で洗練され、1990年代にドラマの影響で世界的人気を不動のものとした。クランベリーの酸味とシトラスの香りが調和した、都会的でエレガントな味わいが特徴。現代を代表する「モダン・クラシック」の一つであり、その視覚的な美しさと共に、洗練された夜の代名詞となっている。	ドラマの主人公たちが愛飲したことで、自立した女性の象徴的なカクテルとなりました。クランベリーのルビー色が、グラスの中で美しく輝きます。	"IBA、 Liquor.com"
17	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	シーブリーズ	170円	1,000円	3	やや甘口,ライトボディ,フルーティー,柑橘系,すっきり消える,冷やして飲む	アメリカ,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,気分を上げたい,旅を感じたい	海風という名の通り、爽やかなグレープフルーツとクランベリーの海辺の一杯です。			0.7		1	1.1	−	フルーツ主体で軽く酸味あり	0.4	-0.4	0.8	1.1	-	果汁感たっぷりで爽快。夏向けの軽やかな酸味	0	-1	0	1	0.15	"アメリカ / 国際"	-	1920年代	https://www.iba-world.com/	ウォッカ、クランベリージュース、グレープフルーツジュースをビルドする。名前は「海のそよ風」を意味し、爽やかでフルーティーな味わいが特徴。1920年代に考案された当初はジンベースだったが、1960年代にジュースメーカーの販促活動を通じて現在のレシピが定着した。ビーチサイドや夏のリゾートにふさわしい清涼感溢れる一杯。果実の酸味とウォッカのキレが、心地よい清涼感をもたらす。	名前の通り、海辺の風を感じさせるような爽やかなカクテルでございます。クランベリーとグレープフルーツの相性が、実に絶妙でございます。	"IBA、 Ocean Spray History"
18	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	ブラッディメアリー	180円	1,000円	1	やや辛口,ミディアムボディ,スパイシー,酸味が際立つ,アーシー,ミネラル,すっきり消える,冷やして飲む	アメリカ,誰でも知ってる定番,お酒好き向け,食前酒,気分を上げたい,うんちく語れる,話題になる一杯	トマトとスパイスの個性派。メアリー女王の血を連想させる赤が、食欲を刺激します。				0.6	1.2	0.4	−	トマト主体の独特風味	-0.2	1.3	0.9	1	-	トマトの重厚感と香辛料の刺激がユニーク	-0.5	0.5	0.5	0.5	0.15	"フランス / パリ"	"ハリーズ・ニューヨーク・バー / 1911年"	1920年代	https://www.iba-world.com/	ウォッカとトマトジュースをベースに、スパイス（タバスコ、塩、胡椒等）を加えた個性的な一杯。1921年、パリの「ハリーズ・ニューヨーク・バー」で考案されたとされる。名前は16世紀のイングランド女王メアリー1世の異名に由来。栄養価が高く「迎え酒」としても知られ、複雑なスパイスの風味が食欲をそそる。バーテンダーや客によってスパイスの調合が異なる、カスタマイズ性の高いカクテル。	「血まみれのメアリー」という物々しい名前ですが、現在は健康的なカクテルとして親しまれております。お好みのスパイス加減をぜひお申し付けください。	"IBA、 Harry's New York Bar Official"
19	カクテル	ウォッカ系カクテル	アメリカ	ニューヨーク	ブルーラグーン	190円	1,100円	3	甘口,ライトボディ,フルーティー,柑橘系,炭酸・泡立ち,すっきり消える,冷やして飲む	アメリカ,お酒好きなら知ってる,入門にぴったり,乾杯・スタート,見た目が映える,ロマンチック	ブルーキュラソーの青が目を奪う、南洋の楽園。見た目のインパクトも一杯の魅力です。			1		1.6	0.9	−	視覚含め非常に華やかな甘味系	0.6	-0.3	0.9	1.1	-	見た目にも鮮やかでシトラス系の香りが弾ける	0.5	-1	1	1	0.2	"フランス / パリ"	"ハリーズ・ニューヨーク・バー / 1911年"	1960年代	-	ウォッカ、ブルーキュラソー、レモンジュースをシェイクし、澄み渡る青い海を表現したカクテル。1960年代にパリの「ハリーズ・ニューヨーク・バー」で考案されたとされる。青色の視覚的インパクトが強く、味わいはシトラスの酸味が効いていて非常に爽やか。南国のリゾートを彷彿とさせるビジュアルから、夏の定番として世界中で愛されている。透明感のある青色が、グラスの中に涼景を描き出す。	フランスで生まれたカクテルながら、その色は南国の青い海そのものでございます。視覚からも涼んでいただける、夏に最適な一杯でございます。	"The Spruce Eats、 Wikipedia"
20	カクテル	ウォッカ系カクテル	アメリカ	ハリウッド	ホワイトルシアン	240円	1,100円	2	甘口,フルボディ,バニラ,チョコレート,クリーミー,とろみ,余韻が長い,冷やして飲む	アメリカ,誰でも知ってる定番,入門にぴったり,夜更かしのお供,大人の夜,ゆったりしたい	ビッグ・リボウスキの白い男。クリームの甘さが、夜をゆっくり溶かしていきます。			1.5	1.4	0.6	-0.3	−	クリーム主体で甘重く酸なし	1.9	1.8	0.7	-1.5	-	生クリームとコーヒーリキュールによる濃厚な甘味	1	1	-1	-0.5	0.25	"ベルギー / ブリュッセル"	"ホテル・メトロポール / -"	1940年代後半	-	ウォッカ、コーヒーリキュール、生クリームを組み合わせたデザートカクテル。1949年にベルギーで考案された「ブラックルシアン」のバリエーション。生クリームの濃厚なコクがコーヒーの苦味を包み込み、ミルキーで甘美な味わい。映画『ビッグ・リボウスキ』の主人公が愛飲したことでカると的な人気を誇る。甘口ながらもベースのウォッカがしっかりと芯を形成しており、食後の満足度が高い一杯。	映画の主人公が四六時中これを飲んでいたことで、一躍有名になりました。デザートのような甘さの奥に、確かなアルコールの力強さが隠れております。	"Liquor.com、 Wikipedia"
21	カクテル	ウォッカ系カクテル	アメリカ	ハワイ	チチ（ウォッカ）	260円	1,300円	3	甘口,フルボディ,トロピカル,フルーティー,クリーミー,とろみ,余韻が長い,冷やして飲む	アメリカ,お酒好きなら知ってる,入門にぴったり,ゆったりしたい,夜更かしのお供,ロマンチック	ウォッカ版ピニャカラーダ。ココナッツとパイナップルが、南国の夢を見させてくれます。			1.4	0.8	1.3	0.6	−	ココナッツ主体で甘く南国香強い	2	1.9	1.5	0.2	-	ココナッツとパインの甘味が爆発するデザート級	1	0.5	0.5	0.5	0.15	"アメリカ / ハワイ州"	-	1950年代	-	ウォッカをベースにパイナップルジュースとココナッツミルクを加え、フローズンまたはシェイクで提供する。元々はラムベースの「ピニャ・コラーダ」のウォッカ版。名前はフランス語の「Chichi（格好をつけた）」に由来し、ハワイ等のリゾート地で大流行した。トロピカルで甘く、クリーミーな飲み口が特徴。ウォッカを用いることでラム特有の癖が抑えられ、よりクリーンな果実味を楽しめる。	「格好をつけた」という意味の名前通り、華やかなデコレーションが似合う一杯でございます。南国の開放的な気分を味わいたい時に最適でございます。	"サントリー、 Wikipedia"
22	カクテル	ウォッカ系カクテル	アメリカ	フロリダ	セックスオンザビーチ	230円	1,200円	2	甘口,ライトボディ,フルーティー,トロピカル,柑橘系,すっきり消える,冷やして飲む	アメリカ,誰でも知ってる定番,入門にぴったり,乾杯・スタート,気分を上げたい,名前が面白い,見た目が映える	名前で笑って、飲んで美味しい。ピーチとクランベリーの甘さが、夜を陽気にします。			1.2	0.3	1.4	0.9	−	フルーツ主体で甘華やか酸もあり	1.4	0.3	1.6	0.8	-	多彩なフルーツが織りなす圧倒的に華やかな香り	1	0	1	1	0.15	"アメリカ / フロリダ州"	-	1987年	https://www.iba-world.com/	ウォッカ、ピーチリキュール、オレンジジュース、クランベリージュースをビルドする。1987年、フロリダ州のバーテンダーがピーチリキュールの販促のために考案した。刺激的な名前は、当時の若者が求める「ビーチ」と「セックス」を組み合わせたもの。フルーティーでアルコール感を感じさせない飲みやすさから、世界中のカジュアルバーで爆発的に普及した。リゾートカクテルの代名詞的存在。	少々刺激的な名前でございますが、味わいはピーチとオレンジが香る、非常にフルーティーで優しいものでございます。	"IBA、 Liquor.com"
